City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
177,Grand-Lahou,CI,80.31,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
181,Cap Malheureux,MU,77.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
184,Cabo San Lucas,MX,77.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
191,Karratha,AU,75.83,few clouds,-20.7377,116.8463,ibis Styles Karratha
193,Teguise,ES,73.62,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
196,Coahuayana,MX,78.85,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
197,Grandview,US,79.61,clear sky,38.8858,-94.533,Holiday Inn Express & Suites Kansas City-Grandview
199,Maceio,BR,72.84,light rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
200,Irmo,US,75.9,mist,34.086,-81.1832,Hilton Garden Inn Columbia/Harbison
201,Lufilufi,WS,81.95,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
202,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
204,Nabire,ID,76.66,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
207,Jacareacanga,BR,70.77,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
210,Pekan,MY,78.87,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
212,Altar,MX,77.45,clear sky,30.7,-111.8167,Hotel Maria Elena
213,Asau,RO,70.72,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
216,Porbandar,IN,89.46,few clouds,21.6422,69.6093,Lords Inn Porbandar
218,Mweka,CD,89.83,overcast clouds,-4.85,21.5667,Guest House Boshab
220,Sovetskiy,RU,72.9,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
222,Tura,IN,77.09,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
223,Belmonte,BR,71.94,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
226,Yazykovo,RU,73.38,scattered clouds,55.2199,56.1353,Children's camp
227,Sibiti,CG,84.04,clear sky,-3.6819,13.3499,Gaby et confort
229,Namibe,AO,75.6,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
231,Kizilskoye,RU,75.06,few clouds,52.7255,58.8937,Motel Region
232,Tulum,MX,76.37,clear sky,20.2167,-87.4667,Kin Ha Tulum
233,Sinnamary,GF,79.99,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
237,Bograd,RU,78.12,broken clouds,54.2344,90.8328,Gostinitsa Berezka
241,Road Town,VG,81.18,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
242,Shakawe,BW,80.35,clear sky,-18.3667,21.85,Ditlhapi Guest House
244,Bac Lieu,VN,84.34,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
245,Kaspiyskiy,RU,80.31,broken clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
249,Touros,BR,81.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
252,Biograd Na Moru,HR,84.9,clear sky,43.9433,15.4519,Villa Maimare
254,Monrovia,LR,79.83,moderate rain,6.3005,-10.7969,Sunset Inn
256,Point Pleasant,US,70.02,clear sky,40.0832,-74.0682,Point Pleasant Manor
257,Naze,JP,71.37,overcast clouds,28.3667,129.4833,Shishime Hotel
258,Maragogi,BR,76.66,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
262,Les Cayes,HT,76.93,overcast clouds,18.2,-73.75,Villa Orphee
267,Lasa,IT,76.69,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
268,Kaffrine,SN,86.41,scattered clouds,14.1059,-15.5508,Beuleup counda motel
269,Salinopolis,BR,80.98,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
270,Turan,VN,80.58,broken clouds,16.0678,108.2208,Grand Mercure Danang
271,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
