City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Urumqi,CN,2022-06-12 12:24:02,43.801,87.6005,97.75,11,20,11.18
153,Drayton Valley,CA,2022-06-12 12:26:45,53.2168,-114.9854,46.24,87,92,4.97
154,Sheregesh,RU,2022-06-12 12:26:46,52.9209,87.9869,66.02,91,97,5.12
155,Quang Ngai,VN,2022-06-12 12:24:39,15.1167,108.8,83.34,80,78,4.7
156,Hervey Bay,AU,2022-06-12 12:26:46,-25.2986,152.8535,57.02,62,100,1.01
157,Cambui,BR,2022-06-12 12:26:46,-22.6122,-46.0575,59.14,69,100,2.8
158,Foam Lake,CA,2022-06-12 12:26:47,51.65,-103.5343,53.35,92,59,6.42
159,Tarsus,TR,2022-06-12 12:26:47,36.9188,34.8784,86.38,54,1,17.63
160,Moranbah,AU,2022-06-12 12:26:47,-22.0016,148.0466,50.04,61,51,6.31
161,Half Moon Bay,US,2022-06-12 12:26:48,37.4636,-122.4286,65.88,92,100,11.5
162,Isla Vista,US,2022-06-12 12:26:48,34.4133,-119.861,61.83,88,100,4.61
163,Vangaindrano,MG,2022-06-12 12:26:48,-23.35,47.6,72.52,66,52,6.49
164,Hualmay,PE,2022-06-12 12:26:49,-11.0964,-77.6139,61.27,85,42,8.32
165,Pitimbu,BR,2022-06-12 12:26:49,-7.4706,-34.8086,81.19,80,14,3.96
166,Leningradskiy,RU,2022-06-12 12:26:49,69.3833,178.4167,35.11,71,52,7.45
167,Neuquen,AR,2022-06-12 12:23:12,-38.9516,-68.0591,35.49,75,0,5.75
168,Omboue,GA,2022-06-12 12:26:50,-1.5746,9.2618,79.29,77,46,8.05
169,Merauke,ID,2022-06-12 12:26:50,-8.4667,140.3333,78.58,87,100,16.15
170,Kolosovka,RU,2022-06-12 12:22:07,56.4678,73.611,65.82,82,38,12.95
171,Sitka,US,2022-06-12 12:26:51,57.0531,-135.33,48.09,87,100,3.44
172,Cherskiy,RU,2022-06-12 12:26:51,68.75,161.3,57.87,34,31,11.39
173,Esperance,AU,2022-06-12 12:26:51,-33.8667,121.9,61.54,79,80,14.09
174,High Level,CA,2022-06-12 12:26:52,58.5169,-117.136,46.51,100,75,2.3
175,Bojnurd,IR,2022-06-12 12:26:52,37.4747,57.329,82.35,23,20,16.11
176,Bereda,ES,2022-06-12 12:26:52,43.2686,-7.5406,65.57,91,100,7.72
177,Vila Do Maio,CV,2022-06-12 12:26:53,15.1333,-23.2167,83.19,87,49,13.47
178,San Juan De Uraba,CO,2022-06-12 12:26:53,8.7592,-76.5297,74.89,93,95,7.02
179,Ilo,PE,2022-06-12 12:26:51,-17.6394,-71.3375,60.53,77,48,4.99
180,Castro,BR,2022-06-12 12:26:53,-24.7911,-50.0119,42.37,50,67,6.49
181,Formosa,AR,2022-06-12 12:26:54,-26.1775,-58.1781,42.78,87,0,0.0
182,Kloulklubed,PW,2022-06-12 12:26:54,7.0419,134.2556,75.7,75,88,8.48
183,Astoria,US,2022-06-12 12:26:54,46.1879,-123.8313,53.49,90,100,3.44
184,Carnot,CF,2022-06-12 12:26:55,4.9409,15.8665,73.06,93,100,4.63
185,Abbeville,FR,2022-06-12 12:26:55,50.1,1.8333,70.25,54,63,11.03
186,Nha Trang,VN,2022-06-12 12:24:16,12.25,109.1833,86.0,86,66,9.28
187,Tahta,EG,2022-06-12 12:27:56,26.7693,31.5021,105.75,13,0,17.78
188,Impfondo,CG,2022-06-12 12:27:56,1.6381,18.0667,95.45,37,73,2.04
189,Cusset,FR,2022-06-12 12:27:56,46.13,3.4596,82.74,37,25,4.09
190,Sur,OM,2022-06-12 12:23:32,22.5667,59.5289,92.86,52,3,12.48
191,Aswan,EG,2022-06-12 12:27:57,24.0934,32.907,113.04,5,0,12.1
192,Vardo,NO,2022-06-12 12:27:57,70.3705,31.1107,51.78,76,75,18.41
193,Serafimovich,RU,2022-06-12 12:27:57,49.5786,42.736,81.63,38,1,11.5
194,San Juan,AR,2022-06-12 12:27:58,-31.5375,-68.5364,46.87,51,14,3.15
195,Pilar,BR,2022-06-12 12:27:58,-9.5972,-35.9567,78.73,79,20,1.57
196,Lichinga,MZ,2022-06-12 12:27:58,-13.3128,35.2406,68.09,42,75,12.66
197,Kupang,ID,2022-06-12 12:27:59,-10.1667,123.5833,77.41,66,33,13.85
198,Narrabri,AU,2022-06-12 12:27:59,-30.3167,149.7833,41.52,91,89,6.26
199,Tarakan,ID,2022-06-12 12:27:59,3.3,117.6333,81.9,78,20,2.3
200,Mahon,ES,2022-06-12 12:28:00,39.8885,4.2658,79.36,69,20,8.05
201,Susuman,RU,2022-06-12 12:28:00,62.7833,148.1667,44.51,71,39,3.04
202,Dikson,RU,2022-06-12 12:28:00,73.5069,80.5464,31.6,94,99,16.13
203,Severo-Yeniseyskiy,RU,2022-06-12 12:28:00,60.3725,93.0408,63.7,71,77,4.32
204,Olinda,BR,2022-06-12 12:28:01,-8.0089,-34.8553,80.33,78,20,5.75
205,Norton Shores,US,2022-06-12 12:28:01,43.1689,-86.2639,60.98,79,100,3.44
206,Kutum,SD,2022-06-12 12:28:01,14.2,24.6667,95.32,20,39,15.57
207,Sabang,ID,2022-06-12 12:28:02,5.8933,95.3214,83.17,71,100,14.85
208,Oussouye,SN,2022-06-12 12:28:02,12.485,-16.5469,89.78,54,46,9.08
209,Calafell,ES,2022-06-12 12:28:03,41.2,1.5683,98.42,69,15,10.69
210,Marawi,PH,2022-06-12 12:28:03,7.9986,124.2928,70.12,95,94,1.01
211,Pemba,MZ,2022-06-12 12:28:03,-12.974,40.5178,83.1,54,20,14.97
212,Laguna,US,2022-06-12 12:28:04,38.421,-121.4238,70.97,80,40,6.91
213,Aranos,NA,2022-06-12 12:28:04,-24.1333,19.1167,75.06,20,0,15.88
214,Mananara,MG,2022-06-12 12:28:04,-16.1667,49.7667,76.33,67,28,11.21
215,Gat,IL,2022-06-12 12:28:05,31.61,34.7642,85.78,36,0,15.73
216,Muroto,JP,2022-06-12 12:28:05,33.2833,134.15,72.54,79,95,2.64
217,Poum,NC,2022-06-12 12:28:05,-20.2333,164.0167,75.18,80,67,6.69
218,Lovozero,RU,2022-06-12 12:28:06,68.005,35.0117,65.34,55,79,17.76
219,Shimoda,JP,2022-06-12 12:28:06,34.6667,138.95,69.1,87,22,5.68
220,Inhambane,MZ,2022-06-12 12:28:06,-23.865,35.3833,76.98,61,40,6.91
221,Tilichiki,RU,2022-06-12 12:28:07,60.4667,166.1,36.61,88,47,3.89
222,Lyskovo,RU,2022-06-12 12:28:07,56.0328,45.0422,65.14,44,2,9.66
223,Yekaterinovka,RU,2022-06-12 12:28:07,52.0508,44.3451,70.61,49,21,12.41
224,Sisimiut,GL,2022-06-12 12:28:08,66.9395,-53.6735,36.77,74,50,19.13
225,Baykit,RU,2022-06-12 12:28:08,61.67,96.37,66.99,50,99,9.31
226,Grindavik,IS,2022-06-12 12:28:08,63.8424,-22.4338,51.75,81,100,8.05
227,Humaita,BR,2022-06-12 12:28:08,-7.5061,-63.0208,67.91,82,100,4.09
