CityID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Feels like temp,Date
225,Kaitangata,NZ,-46.2817,169.8464,44.42,89,95,10.29,light rain,39.0,2022-06-15 11:03:45
226,Yazykovo,RU,55.2199,56.1353,73.38,59,43,7.09,scattered clouds,73.2,2022-06-15 11:03:45
227,Sibiti,CG,-3.6819,13.3499,84.04,43,7,4.43,clear sky,83.82,2022-06-15 11:03:46
228,Kutum,SD,14.2,24.6667,94.03,13,81,20.42,broken clouds,89.51,2022-06-15 11:03:46
229,Namibe,AO,-15.1961,12.1522,75.6,46,0,8.23,clear sky,75.02,2022-06-15 11:03:46
230,Resistencia,AR,-27.4606,-58.9839,54.1,94,0,5.75,clear sky,49.55,2022-06-15 11:03:47
231,Kizilskoye,RU,52.7255,58.8937,75.06,40,16,5.93,few clouds,74.14,2022-06-15 11:03:47
232,Tulum,MX,20.2167,-87.4667,76.37,90,9,5.46,clear sky,77.94,2022-06-15 11:01:56
233,Sinnamary,GF,5.3833,-52.95,79.99,77,41,8.61,scattered clouds,79.99,2022-06-15 11:04:47
234,Ribeira Grande,PT,38.5167,-28.7,66.6,88,40,18.41,scattered clouds,67.1,2022-06-15 11:04:48
235,Mackay,AU,-21.15,149.2,61.68,80,13,7.54,few clouds,61.3,2022-06-15 11:04:48
236,Moree,AU,-29.4667,149.85,54.84,69,0,3.47,clear sky,53.28,2022-06-15 11:04:48
237,Bograd,RU,54.2344,90.8328,78.12,48,72,2.24,broken clouds,77.88,2022-06-15 11:04:49
238,Alice Springs,AU,-23.7,133.8833,53.15,54,19,5.75,few clouds,50.7,2022-06-15 11:04:49
239,Ati,TD,13.2154,18.3353,93.78,32,95,6.38,overcast clouds,93.38,2022-06-15 11:04:49
240,Lodja,CD,-3.4833,23.4333,97.38,31,31,1.9,scattered clouds,98.47,2022-06-15 11:04:49
